Age,Lon,Lat,Distance
13.0650,-142.7233,-53.4137,-705.8613
12.2925,-142.5166,-53.5651,-666.3915
12.2925,-142.4899,-53.5206,-668.6182
12.2925,-142.4593,-53.4806,-669.9012
10.9490,-141.9374,-53.7058,-588.2050
10.9490,-141.9157,-53.6655,-590.4807
10.9490,-141.8982,-53.6440,-591.0769
9.7400,-141.4648,-53.8338,-522.9025
9.7400,-141.4395,-53.7878,-525.4455
9.7400,-141.4145,-53.7517,-526.8908
8.8620,-141.1018,-53.9317,-472.7884
8.8620,-141.0770,-53.8819,-475.8271
8.8620,-141.0480,-53.8495,-476.4152
7.8610,-140.7695,-54.0133,-427.8268
7.8610,-140.7493,-53.9714,-430.4578
7.8610,-140.7221,-53.9396,-431.1739
5.8940,-140.1726,-54.1615,-346.8905
5.8940,-140.1593,-54.1295,-349.1240
5.8940,-140.1399,-54.1101,-349.2598
5.1050,-139.7357,-54.2866,-285.7403
5.1050,-139.7184,-54.2530,-287.7331
5.1050,-139.6960,-54.2306,-287.8856
4.2350,-139.3916,-54.3826,-237.8759
4.2350,-139.3718,-54.3467,-239.8584
4.2350,-139.3435,-54.3206,-239.8100
3.5800,-139.0893,-54.4650,-196.0497
3.5800,-139.0677,-54.4286,-197.8894
3.5800,-139.0476,-54.4101,-197.8516
1.8600,-136.5462,-55.1561,149.5914
1.8600,-136.5178,-55.1163,148.0458
1.8600,-136.4897,-55.0889,147.9051
2.5810,-136.0959,-55.2627,210.1550
2.5810,-136.0664,-55.2236,208.8214
2.5810,-136.0393,-55.2005,209.0572
3.5800,-135.1993,-55.4866,332.1153
3.5800,-135.1735,-55.4421,329.7480
3.5800,-135.1434,-55.4081,329.0464
4.2350,-134.8249,-55.5670,381.5136
4.2350,-134.8024,-55.5268,379.2958
4.2350,-134.7819,-55.5008,378.5008
5.1050,-134.1996,-55.7032,464.2618
5.1050,-134.1764,-55.6565,461.3662
5.1050,-134.1449,-55.6192,460.4431
5.8940,-133.7256,-55.7908,525.1790
5.8940,-133.7024,-55.7440,522.2762
5.8940,-133.6764,-55.7073,520.8293
6.5670,-133.1218,-55.8964,602.0903
6.5670,-133.1032,-55.8501,598.7499
6.5670,-133.0850,-55.8184,597.0559
7.8610,-132.3733,-56.0454,699.5300
7.8610,-132.3420,-55.9878,696.2498
7.8610,-132.3138,-55.9450,694.3344
8.8620,-131.7491,-56.1435,777.7674
8.8620,-131.7283,-56.0939,774.2748
8.8620,-131.7083,-56.0602,772.5330
9.7400,-131.2997,-56.2221,835.0142
9.7400,-131.2751,-56.1720,831.8677
9.7400,-131.2486,-56.1320,830.1041
10.9490,-130.6777,-56.3417,915.4931
10.9490,-130.6439,-56.2871,912.8192
10.9490,-130.6106,-56.2465,911.7064
12.2925,-129.9857,-56.4567,1002.9421
12.2925,-129.9675,-56.3669,994.5411
12.2925,-129.9523,-56.4088,1001.0017
13.0650,-129.5832,-56.5294,1054.4753
13.0650,-129.5593,-56.4790,1051.2236
13.0650,-129.5387,-56.4376,1048.6606
14.3950,-128.9573,-56.6465,1135.0865
14.3950,-128.9291,-56.5933,1131.9790
14.3950,-128.9049,-56.5519,1129.7937
15.0945,-128.6125,-56.7139,1179.8258
15.0945,-128.5804,-56.6593,1176.9727
15.0945,-128.5552,-56.6153,1174.5930
16.1535,-128.0349,-56.8211,1254.1135
16.1535,-128.0349,-56.8211,1254.1135
16.1535,-128.0077,-56.7630,1250.3250
16.1535,-128.0077,-56.7630,1250.3250
16.1535,-127.9802,-56.7192,1248.2249
16.1535,-127.9802,-56.7192,1248.2249
16.6410,-127.8337,-56.8554,1279.6472
16.6410,-127.8073,-56.7994,1276.0172
16.6410,-127.7855,-56.7540,1273.1124
17.4460,-127.4527,-56.9279,1328.8465
17.4460,-127.4204,-56.8669,1325.2782
17.4460,-127.3971,-56.8238,1322.8031
18.2810,-127.2063,-56.9677,1359.8548
18.2810,-127.1753,-56.9107,1356.6058
18.2810,-127.1442,-56.8659,1354.7740
19.0480,-126.9259,-57.0227,1396.2551
19.0480,-126.9024,-56.9600,1391.5448
19.0480,-126.8775,-56.9157,1389.1126
20.1310,-126.3775,-57.1208,1466.3712
20.1310,-126.3517,-57.0589,1461.9964
20.1310,-126.3230,-57.0143,1459.9284
21.1580,-126.0432,-57.1090,1500.8457
21.1580,-126.0216,-57.0698,1498.6468
21.1580,-126.0674,-57.1650,1504.7016
23.0690,-125.3960,-57.1720,1577.4980
23.0690,-125.4454,-57.2801,1584.6757
23.0690,-125.4127,-57.2214,1581.4131
24.0585,-124.9854,-57.3650,1643.7794
24.0585,-124.9588,-57.3081,1640.0702
24.0585,-124.9309,-57.2608,1637.6095
