,Distance,Depth,Magnetic_Anomaly
356,-921.35,4366,-192.2742239578816
357,-920.99,4379,-191.1455854646542
358,-920.63,4372,-189.55070377830782
359,-920.27,4374,-187.44731099205316
360,-919.91,4400,-185.26454350834197
361,-919.55,4395,-181.63052235518754
362,-919.19,4420,-176.92440917498834
363,-918.83,4425,-172.2861039407282
364,-918.47,4430,-168.23847576038622
365,-918.11,4424,-161.68155674261465
366,-917.74,4426,-153.33917852114791
367,-917.38,4409,-145.54720860786958
368,-917.02,4405,-136.39022658957475
369,-916.65,4406,-126.06566337452176
370,-916.29,4412,-114.41615626204924
371,-915.92,4422,-102.5945416298614
372,-915.56,4433,-90.23497212317184
373,-915.2,4438,-78.47905140017917
374,-914.84,4439,-66.5727484565359
375,-914.48,4443,-56.029808885214294
376,-914.12,4442,-45.99961236102533
377,-913.75,4442,-36.177863042940416
378,-913.39,4443,-24.18934186713057
379,-913.02,4459,-15.985827654684446
380,-912.66,4459,-6.0019859174317425
381,-912.3,4463,3.9823504783239123
382,-911.93,4467,14.738455481301024
383,-911.57,4470,24.5355794178924
384,-911.2,4471,31.08483082531292
385,-910.83,4464,36.87041072359977
386,-910.47,4463,43.37218476529734
387,-910.1,4468,48.03855263591623
388,-909.74,4484,53.722991492097236
389,-909.38,4488,55.650663512976635
390,-909.01,4504,55.96402381816597
391,-908.65,4497,55.04925203840662
392,-908.29,4498,52.767923614137054
393,-907.92,4503,48.29643320363655
394,-907.55,4513,42.96009849545955
395,-907.19,4513,35.01905342687077
396,-906.82,4507,24.919145969411282
397,-906.46,4517,13.947176595433724
398,-906.09,4517,3.291205171305055
399,-905.73,4516,-10.031561047087852
400,-905.36,4514,-22.5451814425021
401,-904.99,4508,-34.99670611343394
402,-904.63,4509,-48.85976975578802
403,-904.26,4515,-61.0318925073928
404,-903.9,4511,-72.99123352938749
405,-903.53,4520,-84.69707293794514
406,-903.16,4517,-94.22572581640208
407,-902.8,4521,-103.63891689986777
408,-902.43,4518,-109.82809114901607
