,Distance,Depth,Magnetic_Anomaly
60,1299.7,4696.4,-439.68812945171373
61,1299.7,4696.5,-447.56998900664695
62,1299.0,4714.6,-442.1810386292102
63,1299.0,4709.7,-440.23349766135254
64,1298.3,4703.8,-436.12589403879554
65,1298.3,4704.6,-428.8582475247596
66,1297.6,4700.1,-427.1187445410266
67,1297.6,4738.7,-415.7146339628071
68,1297.0,4772.2,-400.75930096498945
69,1297.0,4747.8,-390.4252536334843
70,1296.3,4723.2,-389.4667615992395
71,1296.2,4716.7,-371.6786166218933
72,1296.2,4716.8,-362.8952572501174
73,1295.6,4726.8,-354.31267998706477
74,1295.6,4783.3,-325.68423709405545
75,1294.9,4794.1,-308.9572190579114
76,1294.9,4744.3,-297.9553255250231
77,1294.2,4763.8,-258.7787175955418
78,1294.2,4753.0,-241.1514047781353
79,1293.5,4722.8,-229.353550264917
80,1293.5,4680.7,-187.36767916177644
81,1292.8,4682.2,-158.33653099672622
82,1292.8,4713.4,-138.9214355259687
83,1292.1,4703.5,-102.03098062711554
84,1292.1,4707.1,-72.7127419712539
85,1291.4,4697.0,-57.99158519477293
86,1291.4,4704.0,-27.231748758462032
87,1290.7,4711.0,-7.103514129282793
88,1290.7,4784.1,5.321484109244839
89,1290.0,4839.8,37.19867634680914
90,1290.0,4828.0,50.899597743428956
91,1289.3,4824.8,53.25183446494947
92,1289.3,4754.7,74.05418399130653
93,1288.6,4723.6,81.50101670286878
94,1288.6,4705.5,69.19473028013806
95,1287.9,4714.5,79.08199672858771
96,1287.9,4731.7,66.55139820265357
97,1287.2,4718.8,63.95623088639645
98,1287.2,4735.9,64.6451291480211
99,1286.5,4708.0,40.65411485352915
100,1286.5,4718.5,10.726385616132932
101,1285.8,4724.9,7.183849976308116
102,1285.8,4721.9,-16.023784364511
103,1285.1,4725.0,-47.81225588779192
104,1285.1,4775.8,-61.555991751682555
105,1284.4,4797.3,-90.47584297663587
106,1284.4,4799.1,-128.5402253824254
107,1283.7,4774.8,-142.62725558593516
108,1283.7,4762.3,-171.00388205184768
109,1283.0,4770.1,-198.50356375718772
110,1283.0,4824.9,-210.794439142199
111,1282.3,4827.6,-226.85700997946384
112,1282.3,4813.3,-255.72089517048613
113,1281.6,4773.3,-264.3495794457002
114,1281.6,4788.9,-283.3875046725372
115,1280.9,4813.4,-293.33782585634344
116,1280.9,4836.7,-306.8404331195899
117,1280.9,4839.0,-310.03648581749786
118,1280.2,4817.8,-319.9219531058245
119,1280.2,4780.5,-328.4966652630653
120,1279.5,4744.2,-338.83737704269026
121,1279.5,4741.5,-341.6205757628769
122,1278.8,4790.9,-345.25422490550466
123,1278.8,4776.7,-351.0072988800343
124,1278.1,4790.9,-358.547812314917
125,1278.1,4805.9,-358.97125251890736
126,1277.4,4806.5,-354.7207772537482
127,1277.4,4776.4,-353.4045955351124
128,1276.7,4668.4,-361.7788759930947
129,1276.7,4659.4,-353.2670942420467
130,1276.0,4705.4,-356.15318389724365
131,1276.0,4777.1,-351.6528573241962
132,1275.3,4776.7,-351.50322371399216
133,1275.3,4737.7,-353.9735210868546
134,1274.7,4760.2,-353.2039018429364
135,1274.7,4716.6,-354.3597289451688
136,1274.0,4672.9,-364.42709493881705
137,1273.9,4619.1,-362.55280993036945
138,1273.2,4616.4,-362.58298845413384
139,1273.2,4616.9,-363.4738608731377
140,1272.6,4647.8,-368.911234784995
141,1272.6,4707.6,-367.700624292849
142,1271.9,4778.9,-380.7510228840031
143,1271.9,4792.3,-376.47083773078333
144,1271.2,4758.0,-375.2401840508608
145,1271.1,4721.9,-373.3745206829203
146,1270.4,4695.1,-380.6721344323662
147,1270.4,4678.5,-383.71404457854004
148,1269.8,4661.3,-387.93837369828225
149,1269.8,4654.5,-388.408762668885
150,1269.1,4653.1,-384.9179912431425
151,1269.1,4642.5,-392.09403119565627
